Linha de Fornecimento,Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
ELEVADORES E ESCADAS ROLANTES,4364,00.427.711/0001-47,,MECANICA MARTINS GUEDES LTDA,Sim,,48437: Miraí,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2862300: FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,5504,00.524.205/0001-76,,CONTROL ELEVADORES LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,8102,00.740.155/0001-64,,GB HIDRAULICA GRUPO EMPRESARIAL LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4669901: COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS,,Sim
ELEVADORES E ESCADAS ROLANTES,8962,00.822.938/0001-97,,ELEVADORES MODULO LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,11036,01.001.371/0001-50,,ESA COMERCIO LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4742300: COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,,Sim
ELEVADORES E ESCADAS ROLANTES,11417,01.030.914/0001-68,,CENTRAL ELEVADORES LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,13692,01.221.364/0001-64,,INTERFACE AUTOMACAO INDUSTRIAL LTDA,Sim,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2829199: FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,30013,02.520.586/0001-40,,CASA DAS FERRAMENTAS DE ARAGUARI LTDA,Não,,40690: Araguari,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810202: ALUGUEL DE IMÓVEIS PRÓPRIOS,,Sim
ELEVADORES E ESCADAS ROLANTES,53689,04.145.419/0001-92,,PROBANC ENGENHARIA S.A.,Sim,,41238: Belo Horizonte,MG,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4299599: OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,57219,04.357.367/0001-18,,GMS ELETROMECANICA PNEUMATICA LTDA,Não,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4530703: COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,Sim
ELEVADORES E ESCADAS ROLANTES,59190,04.477.131/0001-15,,ACESSO MAQUINAS INTELIGENTES LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822402: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,77732,05.592.479/0001-16,,ROUG PART'S COMERCIO & REPRESENTACAO LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4689399: COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,97467,07.179.937/0001-15,,VERTICALTECH INDUSTRIA DE ELEVADORES LTDA,Não,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,99822,07.290.027/0001-05,,TECSULVALE INDUSTRIA E COMERCIO DE EQUIPAMENTOS ELETRO MECANICOS LTDA,Não,,51918: Santa Rita do Sapucaí,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"7739099: ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",,Sim
ELEVADORES E ESCADAS ROLANTES,114410,08.097.763/0001-04,,SHOW MIX DISTRIBUIDORA DE MATERIAIS DE CONSTRUCOES E SERVICOS LTDA,Sim,,26913: Juatuba,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744099: COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,,Sim
ELEVADORES E ESCADAS ROLANTES,115398,08.194.579/0001-82,,LEANDRO LUIZ LEAL SILVA,Sim,,41238: Belo Horizonte,MG,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,"4693100: COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINÂNCIA DE ALIMENTOS OU DE INSUMOS AGROPECUÁRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,130646,09.319.626/0001-30,,CELMAQ INDUSTRIA E COMERCIO LTDA,Não,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2840200: FABRICAÇÃO DE MÁQUINAS-FERRAMENTA, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,132060,09.417.554/0001-63,,"SERVEL COMERCIO, MONTAGEM E MANUTENCAO ELETRICA LTDA",Sim,,46477: Itajubá,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4321500: INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,,Sim
ELEVADORES E ESCADAS ROLANTES,137116,10.266.760/0001-07,,COMERCIAL FARAH LTDA.,Sim,,47791: Machado,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4753900: COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,Sim
ELEVADORES E ESCADAS ROLANTES,143137,10.745.622/0001-00,,ETHOS COMERCIAL E SERVICOS LTDA,Não,,54259: Vespasiano,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4642702: COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA USO PROFISSIONAL E DE SEGURANÇA DO TRABALHO,,Sim
ELEVADORES E ESCADAS ROLANTES,145158,10.921.809/0001-00,,D3JF EMPREENDIMENTOS COMERCIAIS LTDA,Sim,,47333: Juiz de Fora,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3250702: FABRICAÇÃO DE MOBILIÁRIO PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO",,Sim
ELEVADORES E ESCADAS ROLANTES,146985,11.139.349/0001-25,,AGV COMERCIO E SERVICOS LTDA,Não,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4673700: COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO,,Sim
ELEVADORES E ESCADAS ROLANTES,157767,17.185.679/0001-33,,OTHON DE CARVALHO E CIA LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4679604: COMÉRCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,158292,17.500.224/0001-65,,USIMINAS MECANICA SA,Sim,,41238: Belo Horizonte,MG,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,2511000: FABRICAÇÃO DE ESTRUTURAS METÁLICAS,,Sim
ELEVADORES E ESCADAS ROLANTES,158378,17.609.256/0001-01,,MONTELE - INDUSTRIA DE ELEVADORES LTDA,Sim,,43710: Contagem,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,162951,23.252.836/0001-89,,ELEVEM LTDA,Sim,,50350: Poços de Caldas,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,165959,25.995.291/0001-26,,MML IND E COM LTDA,Sim,,47554: Lambarí,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2521700: FABRICAÇÃO DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS PARA AQUECIMENTO CENTRAL",,Sim
ELEVADORES E ESCADAS ROLANTES,169665,29.739.737/0005-36,,ELEVADORES OTIS LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,185330,44.013.159/0008-92,,SIEMENS ENERGY BRASIL LTDA.,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4663000: COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL; PARTES E PEÇAS,,Sim
ELEVADORES E ESCADAS ROLANTES,200196,65.188.195/0001-90,,ORGUEL PLATAFORMAS ELEVATORIAS LTDA,Não,,54259: Vespasiano,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4399104: SERVIÇOS DE OPERAÇÃO E FORNECIMENTO DE EQUIPAMENTOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS E PESSOAS PARA USO EM OBRAS,,Sim
ELEVADORES E ESCADAS ROLANTES,200321,65.313.538/0001-00,,PRESTOBAT LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4693100: COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINÂNCIA DE ALIMENTOS OU DE INSUMOS AGROPECUÁRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,221516,90.347.840/0007-03,,TK ELEVADORES BRASIL LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,276283,05.355.323/0001-11,,WORK ELEVADORES LTDA,Sim,,54038: Uberlândia,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,279994,14.544.745/0001-26,,NORMA EMPREENDIMENTOS ELETRICOS LTDA,Não,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3313999: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE",,Sim
ELEVADORES E ESCADAS ROLANTES,306050,90.347.840/0063-10,,TK ELEVADORES BRASIL LTDA,Sim,,48950: Nova Lima,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,324916,17.561.197/0001-30,,MASER EQUIPAMENTOS E SERVICOS LTDA,Não,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4661300: COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUÁRIO; PARTES E PEÇAS",,Sim
ELEVADORES E ESCADAS ROLANTES,342799,06.935.508/0001-68,,TECLEV ELEVADORES E SERVICOS LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,353260,08.462.156/0001-04,,FUSYON PRIME COMERCIO DE MERCADORIAS E SERVICOS LTDA,Não,,54070: Unaí,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4639701: COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,,Sim
ELEVADORES E ESCADAS ROLANTES,374628,90.347.840/0062-30,,TK ELEVADORES BRASIL LTDA,Sim,,54038: Uberlândia,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,382001,12.021.018/0001-59,,FABRICIO ALBERT COELHO,Sim,,47635: Lavras,MG,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,9521500: REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,,Sim
ELEVADORES E ESCADAS ROLANTES,387054,07.468.188/0001-46,,CRONOS ELEVADORES LTDA.,Não,,54011: Uberaba,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,390621,90.347.840/0030-52,,TK ELEVADORES BRASIL LTDA,Sim,,47333: Juiz de Fora,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,436488,19.749.802/0001-27,,M&S COMERCIO DE MATERIAIS INDUSTRIAIS LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4742300: COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,,Sim
ELEVADORES E ESCADAS ROLANTES,449857,15.388.132/0001-00,,ELEVADORES & CONSERVADORA ALIANCA LTDA,Sim,,45535: Governador Valadares,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,467508,21.607.601/0001-37,,S.G INDUSTRIA DE ELEVADORES LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,549002,14.111.321/0001-78,,MG ESCAL LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,557155,32.931.261/0001-11,,SERGIO RICARDO BRIGAGAO DE CARVALHO,Não,,47791: Machado,MG,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,4639701: COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL,,Sim
ELEVADORES E ESCADAS ROLANTES,557390,07.614.645/0001-63,,VERTLINE ELEVADORES LTDA,Sim,,26913: Juatuba,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,566508,28.796.961/0001-73,,LION ELEVADORES LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,568205,07.956.465/0001-60,,NM SUPRIMENTOS INDUSTRIAIS LTDA,Sim,,46256: Ipatinga,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4759899: COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,568273,22.244.956/0001-71,,VACE ENGENHARIA LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,590219,08.815.435/0001-04,,IBDT INDUSTRIA METALURGICA E INOVACOES LTDA,Sim,,40797: Araxá,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2930103: FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA OUTROS VEÍCULOS AUTOMOTORES, EXCETO CAMINHÕES E ÔNIBUS",,Sim
ELEVADORES E ESCADAS ROLANTES,591488,23.141.224/0001-19,,GABRIEL RIBEIRO HERNANDEZ MARTIN,Sim,,47333: Juiz de Fora,MG,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,"5611203: LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",,Sim
ELEVADORES E ESCADAS ROLANTES,598880,26.917.959/0001-80,,HU CONSERVACAO DE ELEVADORES LTDA,Sim,,54135: Varginha,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,621143,27.017.851/0001-01,,AMANDA REGINA BUGIGA DOS SANTOS,Não,,42099: Camanducaia,MG,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,"2542000: FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS",,Sim
ELEVADORES E ESCADAS ROLANTES,622098,17.266.263/0001-40,,FEAG - FERRAGENS AGMAR PARA FACHADA LTDA,Sim,,54259: Vespasiano,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2319200: FABRICAÇÃO DE ARTIGOS DE VIDRO,,Sim
ELEVADORES E ESCADAS ROLANTES,635643,90.347.840/0072-01,,TK ELEVADORES BRASIL LTDA,Sim,,46256: Ipatinga,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,635645,90.347.840/0074-73,,TK ELEVADORES BRASIL LTDA,Sim,,44458: Divinópolis,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,664369,40.119.130/0001-62,,PANORAMICA ELEVADORES MANUTENCAO E PECAS LTDA,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,3321000: INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,,Sim
