Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 37: EQUIPAMENTO RADAR DE CONTROLE DE TIRO (EXCETO DE 
AERONAVES)",Município 370: Cabixi
Linha de Fornecimento 38: EQUIPAMENTO SONAR DE CONTROLE DE TIRO,Município 388: UIRAMUTA
Linha de Fornecimento 39: EQUIPAMENTOS DIVERSOS DE CONTROLE DE TIRO,Município 396: Machadinho D´Oeste
Linha de Fornecimento 40: EQUIPAMENTO DE CONTROLE DE TIRO DIVERSOS,Município 400: ANAPU
Linha de Fornecimento 41: MUNIÇÃO DE CALIBRE ATÉ 30 MM,Município 418: Nova Brasilândia D´Oeste
Linha de Fornecimento 42: MUNIÇÃO DE CALIBRE ACIMA DE 30 MM ATÉ 75 MM,Município 426: BANNACH
Linha de Fornecimento 43: MUNIÇÃO DE CALIBRE ACIMA DE 75MM ATÉE 125MM,Município 434: Santa Luzia D´Oeste
Linha de Fornecimento 44: MUNIÇÃO DE CALIBRE ACIMA DE 125 MM,Município 442: BELTERRA
Linha de Fornecimento 45: BOMBAS,Município 450: SAO MIGUEL DO GUAPORE
Linha de Fornecimento 46: GRANADAS,Município 469: CACHOEIRA DO PIRIA
Linha de Fornecimento 47: OGIVAS E COMPONENTES EXPLOSIVOS DE MISSEIS GUIADOS,Município 477: NOVA MAMORE
"Linha de Fornecimento 48: UNIDADES DE PROPULSAO EXPLOSIVA A COMBUSTIVEL 
SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES",Município 485: CANAA DOS CARAJAS
"Linha de Fornecimento 49: UNIDADES DE PROPULSAO INERTES A COMBUSTIVEL 
SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES",Município 493: Jesúpolis
"Linha de Fornecimento 50: ROJÕES, FOGUETES, MUNIÇÃO E COMPONENTES",Município 507: CURUA
Linha de Fornecimento 51: MINAS TERRESTRES,Município 515: Professor Jamil
Linha de Fornecimento 52: MUNIÇÕES DE CONTROLE À DISTÂNCIA,Município 523: FLORESTA DO ARAGUAIA
Linha de Fornecimento 53: COMPONENTES INERTES DE MINA SUBMARINA,Município 531: Santo Antônio de Goiás
Linha de Fornecimento 54: COMPONENTES EXPLOSIVOS DE MINAS SUBMARINAS,Município 540: Marituba
Linha de Fornecimento 55: DISPOSITIVOS INERTES DE MINAS SUBAQUÁTICAS,Município 558: Cocalzinho de Goiás
Linha de Fornecimento 56: DISPOSITIVOS EXPLOSIVOS DE MINAS SUBAQUÁTICAS,Município 566: NOVA IPIXUNA
Linha de Fornecimento 57: COMPONENTES INERTES DE TORPEDOS,Município 574: Terezópolis de Goiás
Linha de Fornecimento 58: COMPONENTES EXPLOSIVOS DE TORPEDOS,Município 590: Uirapuru
Linha de Fornecimento 59: COMPONENTES INERTES DE CARGAS DE PROFUNDIDADE,Município 612: Buritinópolis
Linha de Fornecimento 60: COMPONENTES EXPLOSIVOS DE BOMBAS DE PROFUNDIDADE,Município 620: QUATIPURU
Linha de Fornecimento 61: PRODUTOS QUIMICOS DE USO MILITAR,Município 639: Buriti de Goiás
Linha de Fornecimento 62: CONJUNTOS E EQUIPAMENTOS TÁTICOS,Município 655: Guaraita
Linha de Fornecimento 63: PIROTECNICOS,Município 671: Vila Boa
Linha de Fornecimento 64: MATERIAIS DE DEMOLIÇÃO,Município 698: Inaciolândia
Linha de Fornecimento 65: EXPLOSIVOS A GRANEL,Município 701: VITORIA DO JARI
Linha de Fornecimento 66: DISPOSITIVOS ACIONADOS POR PROPELENTES E CARTUCHOS,Município 710: Aparecida do Rio Doce
Linha de Fornecimento 67: AGENTES BIOLOGICOS DE USO MILITAR,Município 736: Chapadão do Céu
"Linha de Fornecimento 68: EQUIPAMENTOS E FERRAMENTAS PARA MANUSEIO DE 
EXPLOSIVO NA SU-PERFÍCIE",Município 744: uruana de minas
"Linha de Fornecimento 69: EQUIPAMENTOS E FERRAMENTAS PARA MANUSEIO DE 
EXPLOSIVO SUB-MERSO",Município 752: Perolândia
Linha de Fornecimento 70: ESPOLETAS E ESTOPILHAS,Município 760: MARATAIZES
Linha de Fornecimento 71: COMPONENTES DIVERSOS DE MUNIÇÃO,Município 779: Cidade Ocidental
"Linha de Fornecimento 72: EQUIPAMENTOS ESPECIALIZADOS PARA MANUSEIO E 
CONSERVACAO DE MUNICAO",Município 795: Montividiu do Norte
Linha de Fornecimento 73: MÍSSEIS GUIADOS,Município 817: Castelândia
Linha de Fornecimento 74: COMPONENTES DE MÍSSEIS GUIADOS,Município 833: Santo Antônio da Barra
Linha de Fornecimento 75: SISTEMAS COMPLETOS DE MÍSSEIS GUIADOS,Município 850: Alto Horizonte
Linha de Fornecimento 76: SUBSISTEMAS DE MÍSSEIS GUIADOS,Município 868: LAVANDEIRA
Linha de Fornecimento 77: SISTEMA DE CONTROLE REMOTO DE MÍSSEIS GUIADOS,Município 876: Nova Iguaçú de Goiás
Linha de Fornecimento 78: LANÇADORES DE MÍSSEIS GUIADOS,Município 892: Cotriguacu
"Linha de Fornecimento 79: EQUIPAMENTO PARA MANUSEIO DE MANUTENÇÃO DE 
MÍSSEIS GUIADOS",Município 906: MONTE SANTO DO TOCANTINS
Linha de Fornecimento 80: MISSEIS GUIADOS DIVERSOS,Município 914: Planalto da Serra
Linha de Fornecimento 81: AERONAVES,Município 930: São Pedro da Cipa
Linha de Fornecimento 82: AERONAVES DE ASAS FIXAS,Município 957: Pontal do Araguaia
Linha de Fornecimento 83: HELICES DE AERONAVES E COMPONENTES,Município 965: SANTA RITA DO TOCANTINS
Linha de Fornecimento 84: AERONAVES DE ASA ROTATIVAS,Município 973: Querência
Linha de Fornecimento 85: COMPONENTES DE SISTEMA DE FREIOS E RODAS,Município 990: Ribeirãozinho
"Linha de Fornecimento 86: COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E 
DEGELAMENTO",Município 1015: Porto Estrela
"Linha de Fornecimento 87: COMPONENTE DE SISTEMAS DE CONDICIONAMENTO DE 
AR,DO AQUECIMENTO E DE PRESSURIZACAO",Município 1023: TUPIRAMA
Linha de Fornecimento 88: PLANADORES,Município 1031: Nova Marilândia
Linha de Fornecimento 89: AERONAVES TELEGUIADAS,Município 1040: AGUA DOCE DO MARANHAO
Linha de Fornecimento 90: COMPONENTES ESTRUTURAIS DE AERONAVES,Município 1058: Brasiléia
Linha de Fornecimento 91: AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS,Município 1066: ALTO ALEGRE DO MARANHAO
Linha de Fornecimento 92: HELICES DE AERONAVES,Município 1074: Cruzeiro do Sul
"Linha de Fornecimento 93: PÁS DE ROTOR DE HELICOPTERO, MECANISMOS DE 
TRANSMISSÃO E COMPONENTES",Município 1082: ALTO ALEGRE DO PINDARE
Linha de Fornecimento 94: COMPONENTES DE TREM DE POUSO DE AERONAVE,Município 1090: Mâncio Lima
Linha de Fornecimento 95: SISTEMAS DE RODAS E DE FREIO DE AERONAVES,Município 1112: Nova Maringá
"Linha de Fornecimento 96: COMPONENTES DOS SISTEMAS HIDRÁULICOS,DE VÁCUO E 
DEGELO DE AERONAVES",Município 1120: APICUM-AÇU
"Linha de Fornecimento 97: EQUIPAMENTOS DE AR CONCICIONADO, AQUECIMENTO E 
PRESSURIZAÇÃODE AERONAVES",Município 1139: Feijó
"Linha de Fornecimento 98: PÁRA-QUEDAS,SISTEMAS DE COLETA, LANÇAMENTO E 
RESGATE AÉREO E EQUIPAMENTOS DE AMARRAÇÃO DE CARGAS",Município 1147: Araguanã
Linha de Fornecimento 99: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES,Município 1155: Santo Afonso
Linha de Fornecimento 100: COMPONENTES E ACESSORIOS DE AERONAVES DIVERSOS,Município 1163: BACABEIRA
Linha de Fornecimento 101: EQUIPAMENTOS PARA SERVICOS DE AERODROMOS,Município 1171: Nova Bandeirantes
Linha de Fornecimento 102: EQUIPAMENTOS PARA POUSO DE AERONAVES,Município 1180: BACURITUBA
Linha de Fornecimento 103: EQUIPAMENTOS PARA LANÇAMENTO DE AERONAVES,Município 1198: Nova Monte Verde
Linha de Fornecimento 104: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES,Município 1210: Nova Guaritá
"Linha de Fornecimento 105: TRATORES E REBOQUES ESPECIALIZADOS PARA 
AEROPORTOS",Município 1236: Santa Carmen
"Linha de Fornecimento 106: EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA DE 
AERONAVESDIVERSOS",Município 1252: Tabapora
Linha de Fornecimento 107: VEICULOS,Município 1260: BOA VISTA DO GURUPI
Linha de Fornecimento 108: VEÍCULOS ESPACIAIS,Município 1279: Alto Boa Vista
Linha de Fornecimento 109: COMPONENTES DE VEICULOS ESPACIAIS,Município 1287: BOM JESUS DAS SELVAS
Linha de Fornecimento 110: SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS,Município 1295: Canabrava do Norte
Linha de Fornecimento 111: LANCADORES DE VEICULOS ESPACIAIS,Município 1317: Confresa
"Linha de Fornecimento 112: EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS 
ESPACIAIS",Município 1333: São José do Xingu
Linha de Fornecimento 113: EQUIPAMENTOS DE SOBREVIVÊNCIA ESPACIAL,Município 1341: BURITICUPU
Linha de Fornecimento 114: VEICULOS ESPACIAIS DIVERSOS,Município 1350: Glória D´Oeste
Linha de Fornecimento 115: NAVIOS DE GUERRA E EMBARCACOES DE DESEMBARQUE,Município 1368: BURITIRANA
Linha de Fornecimento 116: NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA,Município 1376: Lambári D´Oeste
Linha de Fornecimento 117: NAVIOS TANQUES E CARGUEIROS,Município 1392: Rio Branco
Linha de Fornecimento 118: NAVIOS PESQUEIROS,Município 1414: Alcinópolis
Linha de Fornecimento 119: NAVIOS DE SERVICOS ESPECIAIS,Município 1430: Nova Alvorada do Sul
Linha de Fornecimento 120: BATELOES E CHATAS PARA CARGAS,Município 1449: CENTRAL DO MARANHÃO
Linha de Fornecimento 121: BATELOES E CHATAS PARA FINS ESPECIAIS,Município 1457: Sena Madureira
Linha de Fornecimento 122: EMBARCAÇÕES PEQUENAS,Município 1473: Tarauacá
Linha de Fornecimento 123: PONTÕES E DOCAS FLUTUANTES,Município 1490: Xapuri
Linha de Fornecimento 124: DIQUES FLUTUANTES,Município 1511: Plácido de Castro
Linha de Fornecimento 125: DRAGAS,Município 1520: CONCEICAO DO LAGO-ACU
Linha de Fornecimento 126: EMBARCACOES DIVERSAS,Município 1538: Senador Guiomard
Linha de Fornecimento 127: EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES,Município 1554: Manoel Urbano
Linha de Fornecimento 128: CORDAMES E EQUIPAMENTOS CORRELATOS,Município 1570: Assis Brasil
Linha de Fornecimento 129: MAQUINARIA DE CONVES,Município 1597: Novo Horizonte do Sul
Linha de Fornecimento 130: FERRAGENS DE MARINHARIA E ITENS DE CASCO,Município 1600: Formosa da Serra Negra
Linha de Fornecimento 131: BOIAS,Município 1619: Japorã
Linha de Fornecimento 132: EQUIPAMENTO COMERCIAL DE PESCA,Município 1635: Laguna Carapã
Linha de Fornecimento 133: EQUIPAMENTOS DIVERSOS PARA NAVIOS E MARINHARIA,Município 1651: Angico
Linha de Fornecimento 134: LOCOMOTIVAS,Município 1660: GOVERNADOR NEWTON BELLO
Linha de Fornecimento 135: VAGÕES FERROVIÁRIOS,Município 1678: Aragominas
"Linha de Fornecimento 136: EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO 
DE FERROVIA",Município 1686: Governador Nunes Freire
"Linha de Fornecimento 137: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE 
VAGÕES FERROVI-ÁRIOS",Município 1694: Araguanã
Linha de Fornecimento 138: MATERIAIS DE FERROVIA,Município 1708: IGARAPE DO MEIO
Linha de Fornecimento 139: VEÍCULOS DE EFEITO-SOLO,Município 1716: Cachoeirinha
Linha de Fornecimento 140: VEÍCULOS MOTORIZADOS DE PASSAGEIROS,Município 1732: Campos Lindos
Linha de Fornecimento 141: VEICULOS DE SERVICOS ESPECIAIS,Município 1740: ITINGA DO MARANHAO
Linha de Fornecimento 142: VEÍCULOS SOBRE RODAS,Município 1759: Carmolândia
Linha de Fornecimento 143: REBOQUES,Município 1775: Carrasco Bonito
"Linha de Fornecimento 144: MOTOCICLETAS, MOTONETAS E BICICLETAS",Município 1791: Darcinópolis
Linha de Fornecimento 145: VEÍCULOS TÁTICOS SOBRE LAGARTAS,Município 1813: Esperantina
Linha de Fornecimento 146: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA,Município 1821: LAGOA DO MATO
Linha de Fornecimento 147: TRATORES SOBRE RODAS,Município 1830: Maurilândia do Tocantins
Linha de Fornecimento 148: TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS,Município 1856: Mosquito
"Linha de Fornecimento 149: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE 
VEÍCULOS",Município 1872: Muricilândia
Linha de Fornecimento 150: COMPONENTES DE TRANSMISSÃO DE VEÍCULOS,Município 1899: Palmeirante
"Linha de Fornecimento 151: COMPONENTES DE FREIO, DIREÇÃO, EIXO, RODA E 
LAGARTA DE VEÍCULOS",Município 1902: MARACAÇUMÉ
Linha de Fornecimento 152: EQUIPAMENTO E ACESSÓRIOS PARA VEÍCULOS,Município 1910: Pau D´Arco
"Linha de Fornecimento 153: ACESSÓRIOS VEICULARES ESPECÍFICOS PARA SISTEMAS 
DE ARMAS",Município 1937: Riachinho
Linha de Fornecimento 154: COMPONENTES DIVERSOS PARA VEÍCULOS,Município 1945: MARANHAZINHO
"Linha de Fornecimento 155: PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES",Município 1953: Santa Fé do Araguaia
Linha de Fornecimento 156: PNEUS E CÂMARAS DE AR DE AERONAVES,Município 1970: São Bento do Tocantins
Linha de Fornecimento 157: PNEUS MACIÇO E DE BAIXA PRESSÃO,Município 1996: São Miguel do Tocantins
"Linha de Fornecimento 158: MATERIAL PARA REFORMA E REPARO DE PNEUS E 
CÂMARAS DE AR",Município 2011: Novo Airão
"Linha de Fornecimento 159: MOTORES A GASOLINA E COMPONENTES, EXCETO OS DE 
AERONAVES",Município 2038: Anori
Linha de Fornecimento 160: MOTORES A GASOLINA PARA AERONAVES E COMPONENTES,Município 2054: Atalaia do Norte
Linha de Fornecimento 161: MOTORES DIESEL E COMPONENTES,Município 2062: PAULINO NEVES
Linha de Fornecimento 162: MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES,Município 2070: Autazes
Linha de Fornecimento 163: TURBINAS A VAPOR E COMPONENTES,Município 2089: Pedro do Rosário
Linha de Fornecimento 164: TURBINAS E RODAS D´ÁGUA E COMPONENTES,Município 2097: Barcelos
"Linha de Fornecimento 165: TURBINAS A GÁS E MOTORES A JATO E COMPONENTES, 
EXCETO OS DEAERONAVE",Município 2100: PERITORO
"Linha de Fornecimento 166: TURBINAS A GÁS E MOTORES A JATO DE AERONAVES E 
COMPONENTES",Município 2119: Barreirinha
Linha de Fornecimento 167: MOTORES DE FOGUETES E COMPONENTES,Município 2127: PORTO RICO DO MARANHÃO/MARANHÃO E PINHEI
Linha de Fornecimento 168: MOTORES ROTATIVOS A GASOLINA E COMPONENTES,Município 2135: Benjamin Constant
Linha de Fornecimento 169: MOTORES DIVERSOS E COMPONENTES,Município 2151: Boca do Acre
"Linha de Fornecimento 170: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE 
MOTORES, EXCETO OSDE AERONAVES",Município 2178: Borba
"Linha de Fornecimento 171: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE MOTORES 
DE AERONAVES",Município 2186: RAPOSA
"Linha de Fornecimento 172: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, 
EXCETO OS DE AE-RONAVES",Município 2194: Canutama
"Linha de Fornecimento 173: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE 
AERONAVES",Município 2216: Carauari
"Linha de Fornecimento 174: COMPONENTES DO SISTEMA DE RESFRIAMENTO 
(ARREFECIMENTO) DEMOTORES, EXCETO DE AERONAVES",Município 2232: Careiro
"Linha de Fornecimento 175: COMPONENTES DO SISTEMA DE RESFRIAMENTO 
(ARREFECIMENTO) DEMOTORES DE AERONAVES",Município 2240: Santana do Maranhão
"Linha de Fornecimento 176: FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E 
PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES",Município 2259: Coari
"Linha de Fornecimento 177: FILTROS DE AR E DE ÓLEO; ELEMENTOS FILTRANTES 
PURIFICADORES DE MOTORES DE AERONAVES.",Município 2267: SANTO AMARO DO MARANHÃO
Linha de Fornecimento 178: TURBO- SUPERCOMPRESSORES,Município 2275: Codajás
"Linha de Fornecimento 179: ACESSÓRIOS DIVERSOS DE MOTORES, EXCETO OS DE 
AERONAVES",Município 2283: SAO DOMINGOS DO AZEITAO
Linha de Fornecimento 180: ACESSÓRIOS DIVERSOS DE MOTORES DE AERONAVES,Município 2291: Eirunepé
Linha de Fornecimento 181: CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE,Município 2305: SÃO FRANCISCO DO BREJÃO
"Linha de Fornecimento 182: ENGRENAGENS, POLIAS, COROAS DENTADAS E CORRENTES 
DE TRANSMISSÃO",Município 2313: Envira
"Linha de Fornecimento 183: CORREAME, CORREIAS DE TRANSMISSÃO, CORREIAS DOS 
VENTILADORESE ACESSÓRIOS",Município 2330: Fonte Boa
Linha de Fornecimento 184: EQUIPAMENTOS DIVERSOS DE TRANSMISSÃO DE FORÇA,Município 2348: SAO JOAO DO PARAISO
Linha de Fornecimento 185: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS,Município 2356: Humaitá
Linha de Fornecimento 186: MANCAIS NÃO MONTADOS,Município 2372: Santa Isabel do Rio Negro
Linha de Fornecimento 187: ROLAMENTOS E MANCAIS MONTADOS,Município 2399: Ipixuna
Linha de Fornecimento 188: MÁQUINAS PARA SERRARIA E PREPARO DE MADEIRA,Município 2410: Itacoatiara
Linha de Fornecimento 189: MÁQUINAS PARA TRABALHOS EM MADEIRA,Município 2437: Itapiranga
"Linha de Fornecimento 190: FERRAMENTAS E ACESSÓRIOS DE MÁQUINAS PARA 
TRABALHO EM MADEIRA",Município 2453: Japurá
Linha de Fornecimento 191: MÁQUINAS DE SERRAR E LIMAR,Município 2470: Juruá
Linha de Fornecimento 192: MÁQUINAS DE FUNÇÕES MÚLTIPLAS,Município 2488: SATUBINHA
"Linha de Fornecimento 193: MÁQUINAS DE DESBASTAR, ELÉTRICAS E ULTRA-SÔNICAS",Município 2496: Jutai
Linha de Fornecimento 194: MÁQUINAS DE BROCAR,Município 2518: Lábrea
Linha de Fornecimento 195: MÁQUINAS DE MANDRILAR,Município 2526: SENADOR LA ROCQUE
Linha de Fornecimento 196: MÁQUINAS DE FURAR E ABRIR ROSCAS,Município 2534: Manacapuru
Linha de Fornecimento 197: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS,Município 2542: SERRANO DO MARANHÃO
Linha de Fornecimento 198: MÁQUINAS RETIFICADORAS,Município 2550: Manaus
Linha de Fornecimento 199: TORNOS,Município 2577: Manicoré
Linha de Fornecimento 200: MÁQUINAS DE FRESAR,Município 2585: TRIZIDELA DO VALE
Linha de Fornecimento 201: MÁQUINAS DE APLAINAR E TALHAR,Município 2593: Maraã
Linha de Fornecimento 202: MÁQUINAS-FERRAMENTA DIVERSAS,Município 2615: Maués
Linha de Fornecimento 203: MÁQUINAS DE LAMINAR E TREFILAR,Município 2631: Nhamundá
"Linha de Fornecimento 204: EQUIPAMENTO DE TRATAMENTO TÉRMICO E NÃO TÉRMICO 
DE METAIS",Município 2640: VILA NOVA DOS MARTÍRIOS
Linha de Fornecimento 205: EQUIPAMENTOS PARA ACABAMENTO EM METAL,Município 2658: Nova Olinda do Norte
Linha de Fornecimento 206: DEBASTADORAS E PLAINAS-LIMADORAS,Município 2666: ACAUA
Linha de Fornecimento 207: EQUIPAMENTO PARA SOLDA A ARCO VOLTAICO,Município 2674: Novo Aripuanã
Linha de Fornecimento 208: EQUIPAMENTO PARA SOLDA A RESISTÊNCIA ELÉTRICA,Município 2682: ALVORADA DO GURGUEIA
"Linha de Fornecimento 209: EQUIPAMENTO PARA SOLDA A GÁS, CORTE POR 
AQUECIMENTO E DE METALIZAÇÃO",Município 2690: Parintins
Linha de Fornecimento 210: POSICIONADORES E MANIPULADORES DE SOLDA,Município 2704: ASSUNCAO DO PIAUI
Linha de Fornecimento 211: EQUIPAMENTOS DIVERSOS DE SOLDA,Município 2712: Pauini
"Linha de Fornecimento 212: SUPRIMENTOS E ACESSÓRIOS PARA SOLDAS DIVERSAS, 
FRACAS E FORTES",Município 2739: Santo Antônio do Içá
Linha de Fornecimento 213: MATERIAIS E EQUIPAMENTOS PARA FUNDICAO,Município 2747: BELA VISTA DO PIAUI
Linha de Fornecimento 214: MÁQUINAS DE DOBRAR E DE MODELAR,Município 2755: São Paulo de Olivença
"Linha de Fornecimento 215: PRENSAS HIDRÁULICAS E PNEUMÁTICAS ACIONADAS POR 
ENERGIA",Município 2771: Silves
Linha de Fornecimento 216: PRENSAS MECÂNICAS ACIONADAS POR ENERGIA,Município 2798: Tapauá
Linha de Fornecimento 217: PRENSAS MANUAIS,Município 2801: BOA HORA
Linha de Fornecimento 218: MÁQUINAS DE PUNCIONAR E CORTAR,Município 2810: Tefé
Linha de Fornecimento 219: FORJAS MECÂNICAS E MARTELOS PARA FORJAS,Município 2836: São Gabriel da Cachoeira
Linha de Fornecimento 220: MÁQUINAS DE MODELAR FIOS E FITAS DE METAL,Município 2852: Urucará
Linha de Fornecimento 221: MÁQUINAS DE REBITAR,Município 2860: CAJAZEIRAS DO PIAUI
"Linha de Fornecimento 222: MÁQUINAS AUXILIARES PARA MODELAGEM E CORTE DE 
METAL",Município 2879: Urucurituba
Linha de Fornecimento 223: MÁQUINAS-FERRAMENTA PORTÁTEIS,Município 2895: Alvarães
Linha de Fornecimento 224: FERRAMENTAS DE CORTAR PARA MÁQUINAS FERRAMENTA,Município 2909: CAMPO ALEGRE DO FIDALGO
"Linha de Fornecimento 225: FERRAMENTAS DE CORTE E MODELAGEM DE PEÇAS DE 
MÁQUINAS.",Município 2917: Amatura
Linha de Fornecimento 226: ACESSÓRIOS PARA MÁQUINAS-FERRAMENTAS,Município 2925: Campo Grande do Piaui
"Linha de Fornecimento 227: ACESSÓRIOS PARA MÁQUINAS AUXILIARES PARA 
TRABALHO EM METAIS",Município 2933: Anama
Linha de Fornecimento 228: GABARITOS E MOLDES DE PRODUÇÃO,Município 2950: Beruri
"Linha de Fornecimento 229: CONJUNTOS, JOGOS E ACESSÓRIOS PARA OFICINA 
MECÂNICA",Município 2976: Boa Vista do Ramos
Linha de Fornecimento 230: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO,Município 2992: Caapiranga
Linha de Fornecimento 231: EQUIPAMENTOS PARA CONSERTO DE CALÇADOS,Município 3018: Boa Vista
